"Curso","Ordem de prioridade do curso","Nota da qualificacao anterior","Nota de admissao","Deslocado","Necessidades educacionais especiais","Devedor","Genero","Bolsista","Idade na inscricao","Internacional","Materias do primeiro semestre aprovadas","Media das notas do primeiro semestre","Resultado"
"Animation and Multimedia Design",5,122,127.3,"Sim","Nao","Nao","Homem","Nao",20,"Nao",0,0,"Desistente"
"Tourism",1,160,142.5,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,14,"Graduado"
"Communication Design",5,122,124.8,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Desistente"
"Journalism and Communication",2,122,119.6,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,13.4285714285714,"Graduado"
"Social Service (Noturno)",1,100,141.5,"Nao","Nao","Nao","Mulher","Nao",45,"Nao",5,12.3333333333333,"Graduado"
"Management (Noturno)",1,133.1,114.8,"Nao","Nao","Sim","Homem","Nao",50,"Nao",5,11.8571428571429,"Graduado"
"Nursing",1,142,128.4,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,13.3,"Graduado"
"Tourism",4,119,113.1,"Sim","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Desistente"
"Social Service",3,137,129.3,"Nao","Nao","Nao","Mulher","Sim",21,"Sim",6,13.875,"Graduado"
"Social Service",1,138,123,"Sim","Nao","Sim","Mulher","Nao",18,"Nao",5,11.4,"Desistente"
"Advertising and Marketing Management",1,139,130.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.3333333333333,"Graduado"
"Nursing",1,136,119.3,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,13.2142857142857,"Graduado"
"Basic Education",2,133,130.2,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Tourism",1,110,111.8,"Sim","Nao","Nao","Mulher","Sim",21,"Nao",6,10.5714285714286,"Graduado"
"Veterinary Nursing",1,149,137.1,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",4,13.25,"Graduado"
"Journalism and Communication",1,127,120.7,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",5,13.2,"Desistente"
"Social Service",1,137,137.4,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",1,12,"Matriculado"
"Nursing",2,135,127.3,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,13.30625,"Graduado"
"Equinculture",1,137,136.3,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",4,12.5,"Graduado"
"Basic Education",1,140,124.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,11.6666666666667,"Matriculado"
"Animation and Multimedia Design",3,122,120.3,"Nao","Nao","Nao","Mulher","Sim",21,"Nao",0,0,"Graduado"
"Oral Hygiene",4,127,121.8,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",7,11.4375,"Matriculado"
"Nursing",4,142,125.5,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,12.8571428571429,"Graduado"
"Advertising and Marketing Management",4,125,114.9,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,13.375,"Graduado"
"Nursing",1,126,123.9,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",6,13.2966666666667,"Graduado"
"Social Service",1,151,157,"Sim","Nao","Sim","Mulher","Sim",18,"Nao",5,11.6,"Matriculado"
"Social Service",2,115,116.4,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",6,11.375,"Graduado"
"Veterinary Nursing",1,138,131,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",5,12.6666666666667,"Matriculado"
"Management",1,135,122.1,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",5,12,"Graduado"
"Nursing",2,127,118.8,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,12.9333333333333,"Matriculado"
"Agronomy",1,150,150,"Nao","Nao","Nao","Homem","Nao",21,"Nao",5,11.8571428571429,"Matriculado"
"Communication Design",1,125,130,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,12.8333333333333,"Graduado"
"Management",1,143,138.8,"Nao","Nao","Nao","Homem","Nao",18,"Nao",3,11.3333333333333,"Matriculado"
"Social Service (Noturno)",1,138,134.5,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,12.6666666666667,"Graduado"
"Management (Noturno)",1,130,131.4,"Nao","Nao","Nao","Homem","Nao",34,"Nao",5,12.4,"Graduado"
"Biofuel Production Technologies",1,130,102.5,"Nao","Nao","Sim","Homem","Nao",37,"Nao",0,0,"Desistente"
"Informatics Engineering",1,133.1,128.8,"Sim","Nao","Nao","Homem","Nao",43,"Nao",0,0,"Desistente"
"Management",1,140,122.9,"Nao","Nao","Nao","Mulher","Nao",55,"Nao",1,10,"Desistente"
"Management (Noturno)",1,120,113.9,"Sim","Nao","Nao","Mulher","Nao",39,"Nao",5,11,"Graduado"
"Equinculture",1,120,120,"Nao","Nao","Sim","Mulher","Nao",20,"Sim",3,11.6666666666667,"Desistente"
"Journalism and Communication",5,126,121.1,"Nao","Nao","Sim","Mulher","Nao",18,"Nao",4,12.75,"Desistente"
"Management",2,133,120.4,"Sim","Nao","Nao","Mulher","Nao",22,"Nao",5,14.8,"Graduado"
